iso_code,region
ABW,Nord America
AFG,Asia
AGO,Africa
ALB,Europa
ARE,Asia
ARG,Sud America
ARM,Asia
ASM,Oceania
ATG,Nord America
AUS,Oceania
AUT,Europa
AZE,Asia
BDI,Africa
BEL,Europa
BEN,Africa
BFA,Africa
BGD,Asia
BGR,Europa
BHR,Asia
BHS,Nord America
BIH,Europa
BLR,Europa
BLZ,Nord America
BMU,Nord America
BOL,Sud America
BRA,Sud America
BRB,Nord America
BRN,Asia
BTN,Asia
BWA,Africa
CAN,Nord America
CHE,Europa
CHL,Sud America
CHN,Asia
CIV,Africa
CMR,Africa
COD,Africa
COG,Africa
COK,Oceania
COL,Sud America
CPV,Africa
CRI,Nord America
CUB,Nord America
CYM,Nord America
CYP,Asia
CZE,Europa
DEU,Europa
DJI,Africa
DNK,Europa
DOM,Nord America
DZA,Africa
ECU,Sud America
EGY,Africa
ERI,Africa
ESP,Europa
EST,Europa
ETH,Africa
FIN,Europa
FJI,Oceania
FRA,Europa
GAB,Africa
GBR,Europa
GEO,Asia
GHA,Africa
GIB,Europa
GIN,Africa
GMB,Africa
GNB,Africa
GNQ,Africa
GRC,Europa
GRD,Nord America
GRL,Nord America
GTM,Nord America
GUM,Oceania
GUY,Sud America
HKG,Asia
HND,Nord America
HRV,Europa
HTI,Nord America
HUN,Europa
IDN,Asia
IND,Asia
IRL,Europa
IRN,Asia
IRQ,Asia
ISL,Europa
ISR,Asia
ITA,Europa
JAM,Nord America
JOR,Asia
JPN,Asia
KAZ,Asia
KEN,Africa
KGZ,Asia
KHM,Asia
KIR,Oceania
KNA,Nord America
KOR,Asia
KWT,Asia
LAO,Asia
LBN,Asia
LBR,Africa
LBY,Africa
LCA,Nord America
LKA,Asia
LSO,Africa
LTU,Europa
LUX,Europa
LVA,Europa
MAC,Asia
MAR,Africa
MDA,Europa
MDG,Africa
MDV,Asia
MEX,Nord America
MKD,Europa
MLI,Africa
MLT,Europa
MMR,Asia
MNE,Europa
MNG,Asia
MOZ,Africa
MRT,Africa
MSR,Nord America
MUS,Africa
MWI,Africa
MYS,Asia
NAM,Africa
NCL,Oceania
NER,Africa
NGA,Africa
NIC,Nord America
NLD,Europa
NOR,Europa
NPL,Asia
NRU,Oceania
NZL,Oceania
OMN,Asia
PAK,Asia
PAN,Nord America
PER,Sud America
PHL,Asia
PNG,Oceania
POL,Europa
PRI,Nord America
PRK,Asia
PRT,Europa
PRY,Sud America
PSE,Asia
PYF,Oceania
QAT,Asia
ROU,Europa
RUS,Europa
RWA,Africa
SAU,Asia
SDN,Africa
SEN,Africa
SGP,Asia
SLB,Oceania
SLE,Africa
SLV,Nord America
SOM,Africa
SRB,Europa
SSD,Africa
SUR,Sud America
SVK,Europa
SVN,Europa
SWE,Europa
SWZ,Africa
SYC,Africa
SYR,Asia
TCA,Nord America
TCD,Africa
TGO,Africa
THA,Asia
TJK,Asia
TKM,Asia
TLS,Asia
TON,Oceania
TTO,Nord America
TUN,Africa
TUR,Asia
TWN,Asia
TZA,Africa
UGA,Africa
URY,Sud America
USA,Nord America
UZB,Asia
VCT,Nord America
VEN,Sud America
VNM,Asia
WSM,Oceania
YEM,Asia
ZAF,Africa
ZMB,Africa
ZWE,Africa
